dtkwidget 5.6.19-1
duktape 2.7.0-6
dump_syms 2.2.2-1
dvdauthor 0.7.2-11
dvgrab 3.5-13
dvisvgm 3.1.2-1
dvtm 0.15-5
dwayland 5.25.0-1
e2fsprogs 1.47.0-1
ecl 23.9.9-1
eclib 20230424-3
editorconfig-core-c 0.12.6-1
edk2-aarch64 202308-3
edk2-arm 202308-3
edk2-ovmf 202308-3
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
eigen 3.4.0-1
elementary-icon-theme 7.3.1-1
elfutils 0.190-1
emby-server 4.7.14.0-2
enca 1.19-5
enchant 2.6.2-1
eog 45.1-1
epiphany 45.1-1
erlang-docs 26.0-1
erofs-utils 1.7.1-1
evince 45.0-1
evince-lib-docs 45.0-1
evolution-data-server 3.50.1-2
exempi 2.6.4-1
exfatprogs 1.2.2-1
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.2-1
faust 2.69.3-1
fcft 3.1.6-2
ffcall 2.4-2
fflas-ffpack 2.5.0-1
ffmpeg 2:6.0-13
ffmpeg4.4 4.4.4-3
ffnvcodec-headers 12.1.14.0-1
fftw 3.3.10-4
fig2dev 3.2.8.b-1
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
fingerterm 1.4.7-1
firefox 119.0.1-1
firefox-i18n-af 119.0.1-1
firefox-i18n-ar 119.0.1-1
firefox-i18n-az 119.0.1-1
firefox-i18n-be 119.0.1-1
firefox-i18n-bs 119.0.1-1
firefox-i18n-cs 119.0.1-1
firefox-i18n-da 119.0.1-1
firefox-i18n-de 119.0.1-1
firefox-i18n-el 119.0.1-1
firefox-i18n-en-us 119.0.1-1
firefox-i18n-ja 119.0.1-1
firefox-tridactyl 1.23.0-1
flac 1.4.3-1
flatpak 1:1.15.4-1
flex 2.6.4-5
flint 3.0.1-2
flintqs 1:1.0-3
flowblade 2.10.0.4-1
fltk 1.3.8-2
fluajho 1.7.3-1
fluidsynth 2.3.4-1
fmt 10.1.1-1
folks 0.15.6-1
font-manager 0.8.8-1
fontconfig 2:2.14.2-1
fonteditfs 1.2-7
fontforge 20230101-3
fontobene-qt5 0.2.0-3
foot 1.16.2-2
fplll 5.4.5-1
freecad 0.21.1-5
freeglut 3.4.0-1
freeimage 3.18.0-21
freepats-general-midi 20221026-1
freerdp 2:2.11.2-1
freetype2 2.13.2-1
frei0r-plugins 2.3.1-1
fribidi 1.0.13-2
fstrm 0.6.1-1
ftgl 2.4.0-2
